signal_i,entry_i,signal_time,session,style,direction,entry,stop,risk,target_r,range_ratio,excursion_atr,body_frac,entry_time,exit_time,gross_r,net_r,reason,balance_before_rm,risk_rm,pnl_rm,balance_after_rm
34699,34700,2026-03-30 07:00:00+00:00,LONDON,REVERSAL,-1,4524.235,4534.732995776454,10.497995776454445,2.0,1.5753473459209104,0.6373109263854886,0.823705179282915,2026-03-30 07:05:00+00:00,2026-03-30 08:05:00+00:00,-1.0,-1.0430961785119712,stop,112.9045835894019,5.645229179470095,-5.888516983929527,107.01606660547236
35251,35252,2026-04-01 07:00:00+00:00,LONDON,REVERSAL,-1,4722.095,4733.470294744691,11.375294744691018,2.0,0.8055575047365161,1.018287832737744,0.6657576000641545,2026-04-01 07:05:00+00:00,2026-04-01 07:30:00+00:00,-1.0,-1.0415118474376575,stop,107.01606660547236,5.350803330273618,-5.572925061788846,101.44314154368351
35346,35347,2026-04-01 14:55:00+00:00,NEW_YORK,REVERSAL,-1,4760.525,4770.392276089897,9.867276089897132,2.0,0.9442372580358751,0.5416063055236988,0.7647058823530442,2026-04-01 15:00:00+00:00,2026-04-01 15:00:00+00:00,-1.0,-1.0482455842588025,stop,101.44314154368351,5.072157077184176,-5.316866258825347,96.12627528485817
35604,35605,2026-04-02 13:25:00+00:00,NEW_YORK,REVERSAL,1,4597.265,4580.62711480085,16.637885199150332,2.0,1.0549648585330638,0.7817179989494245,0.8231210556512433,2026-04-02 13:30:00+00:00,2026-04-02 13:45:00+00:00,2.0,1.9723686938275378,target,96.12627528485817,4.806313764242908,9.479822801305101,105.60609808616327
36167,36168,2026-04-07 14:20:00+00:00,NEW_YORK,REVERSAL,1,4641.795,4613.172775693966,28.622224306033786,2.0,1.1235066609368194,1.036550676735802,0.8924232309746344,2026-04-07 14:25:00+00:00,2026-04-07 19:20:00+00:00,2.0,1.9837825497055395,target,105.60609808616327,5.280304904308164,10.474976726291114,116.08107481245439
36391,36392,2026-04-08 10:00:00+00:00,LONDON,REVERSAL,1,4788.655,4780.083494808013,8.571505191986944,2.0,1.0856549739331316,0.8164117392183644,0.6410942956927151,2026-04-08 10:05:00+00:00,2026-04-08 10:15:00+00:00,-1.0,-1.0558671422666426,stop,116.08107481245439,5.80405374062272,-6.128309636673329,109.95276517578105
36721,36722,2026-04-09 14:30:00+00:00,NEW_YORK,REVERSAL,-1,4755.568,4768.690222763145,13.122222763145146,2.0,0.8878480797070591,1.1272751861175385,0.7753446877534101,2026-04-09 14:35:00+00:00,2026-04-09 14:55:00+00:00,-1.0,-1.0362405675154092,stop,109.95276517578105,5.497638258789053,-5.696875789281994,104.25588938649906
36930,36931,2026-04-10 08:55:00+00:00,LONDON,REVERSAL,1,4740.735,4733.506117237093,7.2288827629063235,2.0,0.5864586518311881,0.5976041185258931,0.5517105263158568,2026-04-10 09:00:00+00:00,2026-04-10 09:15:00+00:00,2.0,1.9344195340346892,target,104.25588938649906,5.212794469324954,10.083731448370182,114.33962083486925
37010,37011,2026-04-10 15:35:00+00:00,NEW_YORK,REVERSAL,-1,4760.245,4776.3634909756265,16.118490975626628,2.0,0.6512816145788928,0.75909093240474,0.7228976697061644,2026-04-10 15:40:00+00:00,2026-04-12 22:00:00+00:00,2.0,1.9704671795443,target,114.33962083486925,5.7169810417434626,11.265123508832476,125.60474434370173
37184,37185,2026-04-13 07:05:00+00:00,LONDON,REVERSAL,-1,4726.315,4738.259916256664,11.944916256664328,2.0,0.9885676358944885,1.1786871116840063,0.9647219690063248,2026-04-13 07:10:00+00:00,2026-04-13 07:45:00+00:00,-1.0,-1.03956758589549,stop,125.60474434370173,6.280237217185086,-6.528731042720111,119.07601330098161
