timestamp,open,high,low,close,volume
2020-03-25T03:10:00Z,1616.468,1617.748,1614.295,1616.248,0.1924
2020-03-25T03:15:00Z,1616.248,1618.905,1614.708,1615.848,0.1726
2020-03-25T03:20:00Z,1615.788,1618.748,1612.448,1616.228,0.2038
2020-03-25T03:25:00Z,1616.208,1618.148,1616.208,1617.178,0.1391
2020-03-25T03:30:00Z,1617.168,1617.328,1615.378,1616.718,0.0662
2020-03-25T03:35:00Z,1616.448,1616.988,1615.728,1615.878,0.0489
2020-03-25T03:40:00Z,1615.878,1617.898,1614.698,1614.998,0.0818
2020-03-25T03:45:00Z,1614.998,1617.298,1614.818,1616.908,0.0781
2020-03-25T03:50:00Z,1617.058,1617.478,1614.588,1615.358,0.0418
2020-03-25T03:55:00Z,1615.378,1618.708,1613.668,1614.798,0.0466
2020-03-25T04:00:00Z,1614.798,1615.955,1612.788,1615.848,0.0477
2020-03-25T04:05:00Z,1615.898,1616.965,1614.048,1614.098,0.0714
2020-03-25T04:10:00Z,1614.198,1614.348,1612.948,1612.948,0.0311
2020-03-25T04:15:00Z,1612.748,1614.908,1612.018,1614.658,0.0529
2020-03-25T04:20:00Z,1614.588,1615.148,1613.578,1613.868,0.0322
2020-03-25T04:25:00Z,1613.828,1613.868,1611.988,1612.748,0.0414
2020-03-25T04:30:00Z,1612.748,1613.548,1611.708,1611.848,0.0585
2020-03-25T04:35:00Z,1611.868,1612.548,1610.148,1610.148,0.0863
2020-03-25T04:40:00Z,1610.148,1612.95,1608.868,1610.648,0.1388
2020-03-25T04:45:00Z,1610.608,1610.878,1609.128,1609.128,0.1428
2020-03-25T04:50:00Z,1609.925,1610.648,1609.128,1609.128,0.0762
2020-03-25T04:55:00Z,1609.128,1610.608,1608.578,1610.608,0.0555
2020-03-25T05:00:00Z,1610.908,1614.118,1608.468,1609.418,0.1609
2020-03-25T05:05:00Z,1609.418,1615.268,1608.818,1611.388,0.2142
2020-03-25T05:10:00Z,1611.628,1612.498,1606.698,1607.048,0.2587
2020-03-25T05:15:00Z,1607.048,1610.368,1606.698,1606.698,0.0972
2020-03-25T05:20:00Z,1606.698,1607.948,1605.0,1605.758,0.1318
2020-03-25T05:25:00Z,1605.758,1606.898,1605.0,1605.805,0.3314
2020-03-25T05:30:00Z,1605.008,1606.568,1603.778,1605.305,0.2174
2020-03-25T05:35:00Z,1605.315,1608.498,1604.705,1605.718,0.136
2020-03-25T05:40:00Z,1605.868,1613.048,1605.568,1609.788,0.0843
2020-03-25T05:45:00Z,1609.788,1613.948,1609.275,1610.648,0.1955
2020-03-25T05:50:00Z,1611.048,1611.948,1609.925,1610.448,0.1928
2020-03-25T05:55:00Z,1610.598,1612.498,1610.008,1611.248,0.1843
2020-03-25T06:00:00Z,1611.298,1612.698,1610.008,1610.738,0.2126
2020-03-25T06:05:00Z,1610.738,1612.308,1608.03,1609.608,0.1784
2020-03-25T06:10:00Z,1609.608,1612.018,1609.008,1611.148,0.2064
2020-03-25T06:15:00Z,1611.198,1613.488,1608.178,1613.488,0.1558
2020-03-25T06:20:00Z,1613.488,1614.138,1608.2,1609.751,0.258
2020-03-25T06:25:00Z,1609.79,1611.74,1608.5,1610.498,0.3232
2020-03-25T06:30:00Z,1610.501,1614.135,1608.77,1613.088,0.1822
2020-03-25T06:35:00Z,1613.108,1615.388,1612.838,1613.388,0.0692
2020-03-25T06:40:00Z,1613.258,1613.968,1610.938,1612.938,0.0611
2020-03-25T06:45:00Z,1613.158,1614.258,1611.578,1611.978,0.0607
2020-03-25T06:50:00Z,1611.988,1612.698,1607.655,1607.745,0.104
2020-03-25T06:55:00Z,1607.835,1609.515,1606.148,1606.148,0.0729
2020-03-25T07:00:00Z,1607.495,1609.715,1606.178,1606.858,0.0625
2020-03-25T07:05:00Z,1606.858,1610.018,1606.858,1607.138,0.0588
2020-03-25T07:10:00Z,1607.138,1608.368,1606.168,1607.528,0.0463
2020-03-25T07:15:00Z,1607.308,1608.898,1604.448,1604.448,0.1186
2020-03-25T07:20:00Z,1604.448,1608.445,1604.118,1606.538,0.1284
2020-03-25T07:25:00Z,1606.538,1606.538,1605.368,1605.368,0.009
2020-03-25T07:30:00Z,1605.368,1607.325,1600.758,1605.615,0.2557
2020-03-25T07:35:00Z,1605.565,1605.605,1600.868,1603.448,0.2486
2020-03-25T07:40:00Z,1603.368,1604.955,1603.368,1604.515,0.0455
2020-03-25T07:45:00Z,1604.515,1606.488,1597.288,1601.818,0.1404
2020-03-25T07:50:00Z,1601.908,1605.188,1598.378,1603.388,0.0815
